"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"'-Register' and '-Login' functions - These tests covers the validation of features accessible directly from https://lennertamas.github.io/roxo/index.html url. Also verifies the url is correct.","'Registration' function","Correct credentials - User registers a new user with correct credentials.","0","0","1","0","0"
"'-Register' and '-Login' functions - These tests covers the validation of features accessible directly from https://lennertamas.github.io/roxo/index.html url. Also verifies the url is correct.","'Login' function","Login window - after handling the 'Terms and conditions' window, the 'Login' window is visible by default.","0","0","1","0","0"
"","","When on landing page, the 'Home' button must navigate to the correct url.","1","0","0","0","0"
"'-Register' and '-Login' functions - These tests covers the validation of features accessible directly from https://lennertamas.github.io/roxo/index.html url. Also verifies the url is correct.","'Registration' function","Register tab - By clicking on 'Register' tab, the tab switches and allows user to register a new user.","0","0","1","0","0"
"'Terms and conditions' functions - These tests covers the validation of 'Terms and conditions' functions features accessible directly from https://lennertamas.github.io/roxo/index.html url. Also verifies the url is correct.","'Terms and conditions' functions","Accept - Terms and conditions window is displayed and can be accepted by user.","0","0","1","0","0"
"'-Register' and '-Login' functions - These tests covers the validation of features accessible directly from https://lennertamas.github.io/roxo/index.html url. Also verifies the url is correct.","'Login' function","Empty credentials login - User leaves login credential fields empty, and clicks on 'Login' button.","0","0","1","0","0"
"'-Register' and '-Login' functions - These tests covers the validation of features accessible directly from https://lennertamas.github.io/roxo/index.html url. Also verifies the url is correct.","'Login' function","Login tab - User switches to 'Register' tab, then switches back to 'Login' tab.","0","0","1","0","0"
"","","When on landing page, the 'Get in touch' button must navigate to the correct url.","0","0","1","0","0"
"'-Register' and '-Login' functions - These tests covers the validation of features accessible directly from https://lennertamas.github.io/roxo/index.html url. Also verifies the url is correct.","'Registration' function","Invalid email credential - User registers a new user with invalid email credential.","1","0","0","0","0"
"'Terms and conditions' functions - These tests covers the validation of 'Terms and conditions' functions features accessible directly from https://lennertamas.github.io/roxo/index.html url. Also verifies the url is correct.","Check URL","URL check - User navigates to https://lennertamas.github.io/roxo/index.html URL.","0","0","1","0","0"
"","","A username and password is given. This test verifies login is successful with the given login credentials.","0","0","1","0","0"
"'-Register' and '-Login' functions - These tests covers the validation of features accessible directly from https://lennertamas.github.io/roxo/index.html url. Also verifies the url is correct.","Check URL","URL check - User navigates to https://lennertamas.github.io/roxo/index.html URL.","0","0","1","0","0"
"","","When on landing page, the 'About' button must navigate to the correct url.","0","0","1","0","0"
"'Terms and conditions' functions - These tests covers the validation of 'Terms and conditions' functions features accessible directly from https://lennertamas.github.io/roxo/index.html url. Also verifies the url is correct.","'Terms and conditions' functions","Verify text - Terms and conditions window's displayed text must match text stored in 'termsAndConditions.txt'.","0","0","1","0","0"
"'-Register' and '-Login' functions - These tests covers the validation of features accessible directly from https://lennertamas.github.io/roxo/index.html url. Also verifies the url is correct.","'Registration' function","Empty credentials - User registers a new user with empty credentials.","1","0","0","0","0"
"'-Register' and '-Login' functions - These tests covers the validation of features accessible directly from https://lennertamas.github.io/roxo/index.html url. Also verifies the url is correct.","'Login' function","Built-in credentials login - User logs in with built-in login credentials.","0","1","0","0","0"
"'Terms and conditions' functions - These tests covers the validation of 'Terms and conditions' functions features accessible directly from https://lennertamas.github.io/roxo/index.html url. Also verifies the url is correct.","'Terms and conditions' functions","Click out - Terms and conditions window is displayed and user clicks out of the window. The window must remain visible.","0","0","1","0","0"
"'Terms and conditions' functions - These tests covers the validation of 'Terms and conditions' functions features accessible directly from https://lennertamas.github.io/roxo/index.html url. Also verifies the url is correct.","'Terms and conditions' functions","Close - Terms and conditions window is displayed and can be closed by user with button 'X'.","0","0","1","0","0"
"","","On Get in touch page sending a message must be possible.","1","0","0","0","0"
